::ffff:47.30.141.158 - - [04/Mar/2020:15:14:12 +0000] "GET /web_assets/assets/js/slick.min.js HTTP/1.1" 304 - "http://13.58.125.166:3000/insurance/1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:12 +0000] "GET /web_assets/assets/js/bootstrap.min.js HTTP/1.1" 304 - "http://13.58.125.166:3000/insurance/1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:12 +0000] "GET /web_assets/assets/js/custom.js HTTP/1.1" 304 - "http://13.58.125.166:3000/insurance/1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:12 +0000] "GET /web_assets/assets/js/material-form.js HTTP/1.1" 304 - "http://13.58.125.166:3000/insurance/1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:12 +0000] "GET /web_assets/assets/js/validation.js HTTP/1.1" 304 - "http://13.58.125.166:3000/insurance/1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:12 +0000] "GET /web_assets/assets/img/svg/tick-white.svg HTTP/1.1" 304 - "http://13.58.125.166:3000/insurance/1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:13 +0000] "GET /insurance/assets/img/favicon.png HTTP/1.1" 404 171 "http://13.58.125.166:3000/insurance/1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:17 +0000] "GET / HTTP/1.1" 200 87903 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:17 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
::ffff:47.30.141.158 - - [04/Mar/2020:15:14:17 +0000] "GET /web_assets/assets/css/slick.css HTTP/1.1" 304 - "http://13.58.125.166:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
