::ffff:127.0.0.1 - - [06/Aug/2020:12:27:43 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:13:27:44 +0000] "GET /inner-auto-insurance.html HTTP/1.1" 404 164 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:13:46:10 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Googlebot-Image/1.0"
::ffff:127.0.0.1 - - [06/Aug/2020:14:25:25 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:14:54:13 +0000] "GET / HTTP/1.1" 200 60190 "http://3.22.177.86:80/left.html" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0"
::ffff:127.0.0.1 - - [06/Aug/2020:14:59:02 +0000] "POST /xmlrpc.php HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; fr; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
::ffff:127.0.0.1 - - [06/Aug/2020:14:59:02 +0000] "POST /blog/xmlrpc.php HTTP/1.1" 404 155 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; fr; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
::ffff:127.0.0.1 - - [06/Aug/2020:15:27:44 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [06/Aug/2020:15:28:40 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Googlebot-Image/1.0"
::ffff:127.0.0.1 - - [06/Aug/2020:15:48:36 +0000] "GET / HTTP/1.1" 200 60190 "http://3.22.177.86:80/left.html" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:77.0) Gecko/20100101 Firefox/77.0"
::ffff:127.0.0.1 - - [06/Aug/2020:15:54:04 +0000] "GET / HTTP/1.1" 200 60190 "-" "Mozilla/5.0 zgrab/0.x"
