::ffff:127.0.0.1 - - [22/May/2020:03:35:26 +0000] "GET /html/public/index.php HTTP/1.1" 404 160 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [22/May/2020:03:35:26 +0000] "GET /public/index.php HTTP/1.1" 404 155 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [22/May/2020:03:35:27 +0000] "GET /TP/html/public/index.php HTTP/1.1" 404 163 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [22/May/2020:03:35:27 +0000] "GET /elrekt.php HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [22/May/2020:03:35:28 +0000] "GET /index.php HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [22/May/2020:03:35:28 +0000] "GET / HTTP/1.1" 200 92336 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0;en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6)"
::ffff:127.0.0.1 - - [22/May/2020:03:59:25 +0000] "GET / HTTP/1.1" 200 92336 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 200 144877 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/css/slick-theme.css HTTP/1.1" 200 3294 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/css/slick.css HTTP/1.1" 200 1776 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/fonts/fonts.css HTTP/1.1" 200 1444 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/css/material-form.css HTTP/1.1" 200 2264 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/css/custom-2.css HTTP/1.1" 200 38343 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/css/responsive.css HTTP/1.1" 200 5602 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/img/green-img/icon-green-6.png HTTP/1.1" 200 14323 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/img/green-img/icon-green-10-before.png HTTP/1.1" 200 12461 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/img/green-img/icon-green-10.png HTTP/1.1" 200 13020 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/img/logo.png HTTP/1.1" 200 2299 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/img/green-img/icon-green-6-before.png HTTP/1.1" 200 10472 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:26 +0000] "GET /web_assets/assets/js/bootstrap.min.js HTTP/1.1" 200 48944 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:27 +0000] "GET /web_assets/assets/js/slick.min.js HTTP/1.1" 200 42863 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:27 +0000] "GET /web_assets/assets/js/custom.js HTTP/1.1" 200 5717 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:27 +0000] "GET /web_assets/assets/js/material-form.js HTTP/1.1" 200 631 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:27 +0000] "GET /web_assets/assets/js/validation.js HTTP/1.1" 200 86870 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:27 +0000] "GET /web_assets/assets/img/green-img/icon-green-8.png HTTP/1.1" 200 22164 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:27 +0000] "GET /web_assets/assets/img/green-img/icon-green-8-before.png HTTP/1.1" 200 7383 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:27 +0000] "GET /web_assets/assets/img/green-img/icon-green-12.png HTTP/1.1" 200 8505 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
::ffff:127.0.0.1 - - [22/May/2020:03:59:27 +0000] "GET /web_assets/assets/img/green-img/icon-green-12-before.png HTTP/1.1" 200 8643 "http://3.22.177.86/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
