::ffff:127.0.0.1 - - [27/May/2020:11:03:13 +0000] "GET /m/.env HTTP/1.1" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:13 +0000] "GET /server/.env HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:13 +0000] "GET /local/.env HTTP/1.1" 404 149 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:13 +0000] "GET /admin-app/.env HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:13 +0000] "GET /web/.env HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:14 +0000] "GET /search/.env HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:14 +0000] "GET /cron/.env HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:14 +0000] "GET /document/.env HTTP/1.1" 404 152 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:14 +0000] "GET /src/.env HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:14 +0000] "GET /master/.env HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:14 +0000] "GET /application/.env HTTP/1.1" 404 155 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
::ffff:127.0.0.1 - - [27/May/2020:11:03:14 +0000] "GET /frontend/.env HTTP/1.1" 404 152 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
