::ffff:223.225.35.68 - - [25/Apr/2020:10:36:18 +0000] "GET /web_assets/assets/js/custom.js HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:10:36:18 +0000] "GET /web_assets/assets/js/validation.js HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:18 +0000] "GET /insurance_more_product HTTP/1.1" 200 67935 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:19 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:19 +0000] "GET /web_assets/assets/css/slick.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:19 +0000] "GET /web_assets/assets/css/slick-theme.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:19 +0000] "GET /web_assets/assets/css/material-form.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:19 +0000] "GET /web_assets/assets/fonts/fonts.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:19 +0000] "GET /web_assets/assets/css/custom-2.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:19 +0000] "GET /web_assets/assets/css/responsive.css HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:19 +0000] "GET /web_assets/assets/js/jquery-1.9.1.min.js HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:20 +0000] "GET /web_assets/assets/js/slick.min.js HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:20 +0000] "GET /web_assets/assets/js/validation.js HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
::ffff:223.225.35.68 - - [25/Apr/2020:11:47:20 +0000] "GET /web_assets/assets/js/material-form.js HTTP/1.1" 304 - "http://3.22.177.86:3000/insurance_more_product" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36"
